Country,Quantity,Year
Venezuela,48,2020
Saudi Arabia,40.9,2020
Canada,27.1,2020
Iran,21.7,2020
Iraq,19.6,2020
Russian Federation,14.8,2020
Kuwait,14,2020
United Arab Emirates,13,2020
US,8.2,2020
Libya,6.3,2020
