Country,Quantity,Year
US,739.7,2020
China,669.2,2020
India,213.1,2020
Saudi Arabia,150,2020
Japan,149,2020
Russian Federation,146.3,2020
South Korea,110.6,2020
Brazil,106.8,2020
Canada,98.1,2020
Germany,96.2,2020
