Country,Quantity,Year
US,712.7,2020
Russian Federation,524.4,2020
Saudi Arabia,519.6,2020
Canada,252.2,2020
Iraq,202,2020
China,194.8,2020
United Arab Emirates,165.6,2020
Brazil,159.2,2020
Iran,142.7,2020
Kuwait,130.1,2020
